Pantitlan,Zaragoza,1320
Zaragoza,Gomez Farias,762
Gomez Farias,Boulevard Puerto Aereo,611
Boulevard Puerto Aereo,Balbuena,595
Balbuena,Moctezuma,703
Moctezuma,San Lazaro,478
San Lazaro,Candelaria,866
Candelaria,Merced,698
Merced,Pino Suarez,745
Pino Suarez,Isabel la Catolica,382
Isabel la Catolica,Salto del Agua,445
Salto del Agua,Balderas,458
Balderas,Cuauhtemoc,409
Cuauhtemoc,Insurgentes,793
Insurgentes,Sevilla,645
Sevilla,Chapultepec,501
Chapultepec,Juanacatlan,973
Juanacatlan,Tacubaya,1158
Tacubaya,Observatorio,1262
Cuatro Caminos,Panteones,1639
Panteones,Tacuba,1416
Tacuba,Cuitlahuac,637
Cuitlahuac,Popotla,620
Popotla,Colegio Militar,462
Colegio Militar,Normal,516
Normal,San Cosme,657
San Cosme,Revolucion,537
Revolucion,Hidalgo,587
Hidalgo,Bellas Artes,447
Bellas Artes,Allende,387
Allende,Zocalo,602
Zocalo,Pino Suarez,745
Pino Suarez,San Antonio Abad,817
San Antonio Abad,Chabacano,642
Chabacano,Viaducto,774
Viaducto,Xola,490
Xola,Villa de Cortes,698
Villa de Cortes,Nativitas,750
Nativitas,Portales,924
Portales,Ermita,748
Ermita,General Anaya,838
General Anaya,Tasqueña,1330
Indios Verdes,Deportivo 18 de Marzo,1166
Deportivo 18 de Marzo,Potrero,966
Potrero,La Raza,1106
La Raza,Tlatelolco,1445
Tlatelolco,Guerrero,1042
Guerrero,Hidalgo,702
Hidalgo,Juarez,251
Juarez,Balderas,659
Balderas,Niños Heroes,665
Niños Heroes,Hospital General,559
Hospital General,Centro Medico,653
Centro Medico,Etiopia,1119
Etiopia,Eugenia,950
Eugenia,Division del Norte,715
Division del Norte,Zapata,794
Zapata,Coyoacan,1153
Coyoacan,Viveros,908
Viveros,Miguel Angel de Quevedo,824
Miguel Angel de Quevedo,Copilco,1295
Copilco,Universidad,1306
Santa Anita,Jamaica,758
Jamaica,Fray Servando,1033
Fray Servando,Candelaria,633
Candelaria,Morelos,1062
Morelos,Canal del Norte,910
Canal del Norte,Consulado,884
Consulado,Bondojito,645
Bondojito,Talisman,959
Talisman,Martin Carrera,1129
Politecnico,Instituto del Petroleo,1188
Instituto del Petroleo,Autobuses del Norte,1067
Autobuses del Norte,La Raza,975
La Raza,Misterios,892
Misterios,Valle Gomez,969
Valle Gomez,Consulado,679
Consulado,Eduardo Molina,815
Eduardo Molina,Aragon,860
Aragon,Oceania,1219
Oceania,Terminal Aerea,1174
Terminal Aerea,Hangares,1153
Hangares,Pantitlan,1644
El Rosario,Tezozomoc,1257
Tezozomoc,UAM Azcapotzalco,973
UAM Azcapotzalco,Ferreria,1173
Ferreria,Norte 45,1072
Norte 45,Vallejo,660
Vallejo,Instituto del Petroleo,755
Instituto del Petroleo,Lindavista,1258
Lindavista,Deportivo 18 de Marzo,1075
Deportivo 18 de Marzo,La Villa,570
La Villa,Martin Carrera,1141
El Rosario,Aquiles Serdan,1615
Aquiles Serdan,Camarones,1402
Camarones,Refineria,952
Refineria,Tacuba,1295
Tacuba,San Joaquin,1433
San Joaquin,Polanco,1163
Polanco,Auditorio,812
Auditorio,Constituyentes,1430
Constituyentes,Tacubaya,1005
Tacubaya,San Pedro de los Pinos,1084
San Pedro de los Pinos,San Antonio,606
San Antonio,Mixcoac,788
Mixcoac,Barranca del Muerto,1476
Garibaldi,Bellas Artes,634
Bellas Artes,San Juan de Letran,456
San Juan de Letran,Salto del Agua,292
Salto del Agua,Doctores,564
Doctores,Obrera,761
Obrera,Chabacano,1143
Chabacano,La Viga,843
La Viga,Santa Anita,633
Santa Anita,Coyuya,968
Coyuya,Iztacalco,993
Iztacalco,Apatlaco,910
Apatlaco,Aculco,534
Aculco,Escuadron 201,789
Escuadron 201,Atlalilco,1738
Atlalilco,Iztapalapa,732
Iztapalapa,Cerro de la Estrella,717
Cerro de la Estrella,UAM-I,1135
UAM-I,Constitucion de 1917,1137
Pantitlan,Puebla,1380
Puebla,Ciudad Deportiva,800
Ciudad Deportiva,Velodromo,1110
Velodromo,Mixiuhca,821
Mixiuhca,Jamaica,942
Jamaica,Chabacano,1031
Chabacano,Lazaro Cardenas,1000
Lazaro Cardenas,Centro Medico,1059
Centro Medico,Chilpancingo,1152
Chilpancingo,Patriotismo,955
Patriotismo,Tacubaya,1133
Pantitlan,Agricola Oriental,1409
Agricola Oriental,Canal de San Juan,1093
Canal de San Juan,Tepalcates,1456
Tepalcates,Guelatao,1161
Guelatao,Peñon Viejo,2206
Peñon Viejo,Acatitla,1379
Acatitla,Santa Martha,1100
Santa Martha,Los Reyes,1783
Los Reyes,La Paz,1956
Ciudad Azteca,Plaza Aragon,574
Plaza Aragon,Olimpica,709
Olimpica,Ecatepec,596
Ecatepec,Muzquiz,1485
Muzquiz,Rio de los Remedios,1155
Rio de los Remedios,Impulsora,436
Impulsora,Nezahualcoyotl,1393
Nezahualcoyotl,Villa de Aragon,1335
Villa de Aragon,Bosque de Aragon,784
Bosque de Aragon,Deportivo Oceania,1165
Deportivo Oceania,Oceania,863
Oceania,Romero Rubio,809
Romero Rubio,Ricardo Flores Magon,908
Ricardo Flores Magon,San Lazaro,907
San Lazaro,Morelos,1296
Morelos,Tepito,498
Tepito,Lagunilla,611
Lagunilla,Garibaldi,474
Garibaldi,Guerrero,757
Guerrero,Buenavista,521
Tlahuac,Tlaltenco,1298
Tlaltenco,Zapotitlan,1115
Zapotitlan,Nopalera,1276
Nopalera,Olivos,1360
Olivos,Tezonco,490
Tezonco,Periferico Oriente,1545
Periferico Oriente,Calle 11,1111
Calle 11,Lomas Estrella,906
Lomas Estrella,San Andres Tomatlan,1060
San Andres Tomatlan,Culhuacan,990
Culhuacan,Atlalilco,1671
Atlalilco,Mexicaltzingo,1922
Mexicaltzingo,Ermita,1805
Ermita,Eje Central,895
Eje Central,Parque de los Venados,1280
Parque de los Venados,Zapata,563
Zapata,Hospital 20 de Noviembre,450
Hospital 20 de Noviembre,Insurgentes Sur,725
Insurgentes Sur,Mixcoac,651
